merchant_id,merchant_name,category,region,integration_type,years_on_visa,avg_monthly_volume_k,monthly_txn_count,avg_txn_size,dispute_rate_pct,support_tickets_monthly,volume_trend_pct,churn_label
1,Swift Transact 1,Retail,MEA,Semi-integrated,8.7,155.7,302,515.56,0.05,2,5.7,0
2,Smart Commerce 2,Entertainment,North America,Integrated,4.6,1307.3,1649,792.78,0.93,11,24.3,0
3,Digital Payments 3,Travel,Europe,Manual,10.3,284.1,646,439.78,0.57,15,-19.6,1
4,Global Transact 4,eCommerce,Asia Pacific,Semi-integrated,3.3,66.1,178,371.35,0.88,1,13.5,0
5,Smart Market 5,eCommerce,LAC,Integrated,6.7,444.8,941,472.69,0.81,11,23.7,0
6,Global Commerce 6,Services,North America,Manual,2.6,4249.8,4600,923.87,0.43,15,-28.7,1
7,Prime Pay 7,Retail,Asia Pacific,Integrated,6.2,1267.8,2358,537.66,0.31,0,2.6,0
8,Prime Transact 8,Entertainment,North America,Integrated,2.3,8000.0,19118,418.45,0.06,9,40.9,0
9,Express Commerce 9,Restaurant,LAC,Integrated,2.4,852.5,2428,351.11,0.38,1,19.0,0
10,Global Payments 10,Retail,LAC,Semi-integrated,7.5,8000.0,7131,1121.86,0.38,3,-29.4,1
11,Peak Trade 11,Travel,Asia Pacific,Integrated,3.5,852.8,698,1221.78,0.16,8,21.2,0
12,Swift Market 12,Services,Europe,Integrated,2.5,686.4,1051,653.09,1.23,5,-7.0,1
13,Digital Commerce 13,Entertainment,North America,Integrated,11.2,110.9,90,1232.22,0.65,1,21.8,0
14,Prime Pay 14,Entertainment,MEA,Integrated,1.0,3148.8,9292,338.87,0.08,14,-5.8,1
15,Prime Market 15,Entertainment,LAC,Integrated,7.0,329.3,513,641.91,1.59,3,6.9,0
16,Global Trade 16,Entertainment,Europe,Semi-integrated,6.8,268.8,492,546.34,0.52,15,-2.8,0
17,Digital Payments 17,Travel,Asia Pacific,Integrated,3.4,3998.7,4269,936.68,0.19,3,8.1,0
18,Prime Trade 18,Retail,LAC,Integrated,5.7,3366.1,5462,616.28,1.75,9,-3.3,0
19,Global Hub 19,Services,LAC,Semi-integrated,1.5,3245.0,9610,337.67,0.37,13,3.5,0
20,Digital Pay 20,eCommerce,Asia Pacific,Integrated,8.8,400.6,689,581.42,1.1,8,-15.5,0
21,Prime Payments 21,Travel,Europe,Semi-integrated,3.0,619.3,323,1917.34,0.6,7,17.8,0
22,Swift Shop 22,eCommerce,LAC,Integrated,2.7,611.7,676,904.88,0.16,13,11.5,0
23,Global Shop 23,Restaurant,LAC,Integrated,4.1,1989.3,5860,339.47,0.75,0,-24.3,1
24,Express Market 24,Services,Asia Pacific,Integrated,10.9,5854.6,17403,336.41,0.2,14,27.9,0
25,Peak Market 25,Entertainment,North America,Integrated,9.7,1113.7,1142,975.22,0.24,12,4.5,0
26,Prime Payments 26,Travel,Asia Pacific,Integrated,11.4,8000.0,16305,490.65,0.31,13,11.2,0
27,Smart Transact 27,eCommerce,LAC,Semi-integrated,8.0,2335.7,1616,1445.36,0.29,7,23.3,0
28,Smart Market 28,Entertainment,MEA,Integrated,8.1,478.8,930,514.84,0.55,6,14.6,0
29,Direct Commerce 29,Travel,Asia Pacific,Semi-integrated,6.0,2122.2,1729,1227.41,0.9,10,31.3,0
30,Prime Transact 30,eCommerce,Europe,Semi-integrated,10.9,7246.8,18455,392.67,0.34,11,2.1,0
31,Express Payments 31,eCommerce,Asia Pacific,Integrated,6.4,8000.0,22791,351.02,0.42,16,28.7,0
32,Swift Transact 32,Restaurant,North America,Semi-integrated,4.6,3504.0,3267,1072.54,0.07,15,10.5,0
33,Global Commerce 33,Retail,North America,Integrated,7.9,689.5,1142,603.77,0.45,0,18.2,0
34,Prime Market 34,Travel,LAC,Integrated,6.8,491.1,370,1327.3,0.13,2,16.1,0
35,Global Trade 35,Services,MEA,Integrated,1.9,1489.9,2008,741.98,0.24,17,32.8,0
36,Direct Payments 36,Retail,MEA,Semi-integrated,5.0,6929.6,4592,1509.06,0.26,6,22.4,0
37,Prime Commerce 37,Services,Asia Pacific,Manual,4.1,1220.8,1417,861.54,0.46,10,-0.9,1
38,Prime Shop 38,Entertainment,North America,Integrated,10.2,1256.8,3739,336.13,0.81,1,-4.8,0
39,Express Shop 39,Restaurant,MEA,Semi-integrated,4.9,714.8,437,1635.7,0.38,1,7.0,0
40,Peak Payments 40,Travel,Asia Pacific,Semi-integrated,9.9,420.3,1112,377.97,0.05,7,-7.2,0
41,Digital Commerce 41,Retail,Europe,Integrated,5.6,530.1,367,1444.41,1.62,12,-13.0,1
42,Express Transact 42,Entertainment,MEA,Semi-integrated,9.2,804.0,1465,548.81,0.15,13,-34.6,1
43,Smart Hub 43,Entertainment,LAC,Semi-integrated,2.1,7371.2,12017,613.4,0.36,16,-23.0,1
44,Express Market 44,eCommerce,LAC,Manual,11.1,475.5,1345,353.53,1.82,3,47.7,0
45,Peak Market 45,Retail,Europe,Manual,6.0,716.0,714,1002.8,1.6,3,-5.1,1
46,Smart Commerce 46,Services,MEA,Integrated,3.5,198.0,187,1058.82,0.51,9,46.1,0
47,Prime Commerce 47,eCommerce,Asia Pacific,Integrated,3.3,1814.0,4302,421.66,0.73,9,16.1,1
48,Express Hub 48,Services,Asia Pacific,Semi-integrated,3.5,4506.8,10430,432.1,1.11,0,7.0,0
49,Global Hub 49,Entertainment,LAC,Integrated,4.7,6465.9,14535,444.85,0.21,8,-22.0,0
50,Swift Commerce 50,Entertainment,LAC,Integrated,8.8,884.2,499,1771.94,0.73,16,8.1,0
51,Global Hub 51,Entertainment,North America,Manual,11.4,1486.4,1709,869.75,0.2,2,45.8,0
52,Smart Pay 52,Restaurant,Europe,Integrated,8.2,536.5,1394,384.86,0.81,14,39.2,0
53,Peak Transact 53,eCommerce,Europe,Integrated,6.8,1393.0,2788,499.64,0.3,8,13.5,0
54,Digital Payments 54,eCommerce,MEA,Semi-integrated,5.7,1032.3,2070,498.7,0.19,9,-15.0,0
55,Prime Market 55,eCommerce,LAC,Integrated,10.0,721.7,894,807.27,1.05,11,-11.1,0
56,Prime Transact 56,Retail,Europe,Integrated,10.3,806.6,927,870.12,0.11,12,-9.1,0
57,Peak Payments 57,Travel,LAC,Manual,3.9,1252.2,3589,348.9,0.64,11,33.6,0
58,Digital Pay 58,Retail,LAC,Integrated,11.5,440.6,1021,431.54,0.05,1,40.6,0
59,Smart Hub 59,Entertainment,Europe,Integrated,5.0,473.7,387,1224.03,0.37,5,11.9,0
60,Global Pay 60,Entertainment,Asia Pacific,Integrated,9.7,7261.2,20652,351.6,1.19,15,1.9,0
61,Digital Commerce 61,Services,MEA,Manual,11.6,8000.0,15647,511.28,0.98,0,39.0,0
